Little Devil
1.000000 0.000326
0.992868 0.000802
0.985736 0.001286
0.978611 0.001779
0.971486 0.002281
0.960125 0.003099
0.949920 0.003854
0.937408 0.004805
0.925603 0.005727
0.915075 0.006571
0.904545 0.007435
0.894655 0.008266
0.884841 0.009107
0.874952 0.009974
0.865138 0.010851
0.855323 0.011745
0.845433 0.012663
0.835619 0.013592
0.825730 0.014544
0.815842 0.015514
0.805953 0.016499
0.796138 0.017495
0.786251 0.018513
0.776436 0.019538
0.766623 0.020579
0.756735 0.021642
0.746921 0.022711
0.737106 0.023793
0.727218 0.024896
0.717404 0.026003
0.707591 0.027120
0.697776 0.028249
0.687963 0.029388
0.678075 0.030543
0.668261 0.031698
0.658373 0.032869
0.648559 0.034037
0.638746 0.035210
0.628933 0.036387
0.619045 0.037575
0.609231 0.038756
0.599417 0.039937
0.589677 0.041109
0.579864 0.042286
0.570049 0.043460
0.560237 0.044627
0.550423 0.045789
0.540537 0.046950
0.530723 0.048091
0.520910 0.049221
0.511097 0.050338
0.501283 0.051438
0.491469 0.052522
0.481656 0.053585
0.471841 0.054626
0.462028 0.055644
0.452214 0.056636
0.442325 0.057607
0.432436 0.058547
0.422620 0.059446
0.412732 0.060317
0.402843 0.061149
0.392952 0.061940
0.383062 0.062688
0.373172 0.063387
0.363283 0.064037
0.353393 0.064634
0.343502 0.065175
0.333610 0.065658
0.323718 0.066078
0.313827 0.066431
0.303936 0.066715
0.294043 0.066926
0.284150 0.067061
0.274257 0.067115
0.264363 0.067084
0.254468 0.066965
0.244573 0.066753
0.234677 0.066444
0.224780 0.066033
0.214883 0.065516
0.205059 0.064894
0.195160 0.064151
0.185334 0.063292
0.175506 0.062309
0.165605 0.061183
0.155777 0.059926
0.145948 0.058522
0.136189 0.056973
0.126431 0.055260
0.116744 0.053390
0.107056 0.051337
0.097514 0.049122
0.088021 0.046714
0.078661 0.044121
0.069420 0.041329
0.060420 0.038362
0.051803 0.035255
0.043288 0.031880
0.035105 0.028289
0.027320 0.024471
0.020021 0.020414
0.013292 0.016069
0.007729 0.011749
0.004431 0.008593
0.001633 0.005059
0.000212 0.002028
0.000000 0.000000
0.000414 -0.001745
0.001353 -0.003235
0.003682 -0.004751
0.006603 -0.005830
0.010817 -0.006882
0.015120 -0.007601
0.023690 -0.008532
0.032482 -0.009108
0.042377 -0.009514
0.052198 -0.009768
0.062093 -0.009936
0.071986 -0.010049
0.081878 -0.010131
0.091770 -0.010195
0.101663 -0.010253
0.111557 -0.010310
0.121452 -0.010372
0.131345 -0.010440
0.141237 -0.010519
0.151129 -0.010608
0.161023 -0.010709
0.170917 -0.010822
0.180811 -0.010948
0.190703 -0.011085
0.200596 -0.011233
0.210490 -0.011393
0.220384 -0.011563
0.230277 -0.011741
0.240170 -0.011929
0.249988 -0.012123
0.259881 -0.012325
0.269775 -0.012534
0.279670 -0.012746
0.289564 -0.012963
0.299458 -0.013181
0.309350 -0.013400
0.319242 -0.013619
0.329135 -0.013838
0.339029 -0.014054
0.348923 -0.014268
0.358817 -0.014478
0.368709 -0.014683
0.378602 -0.014883
0.388495 -0.015077
0.398389 -0.015264
0.408282 -0.015445
0.418176 -0.015617
0.428070 -0.015780
0.437964 -0.015935
0.447858 -0.016080
0.457750 -0.016214
0.467643 -0.016339
0.477537 -0.016452
0.487431 -0.016554
0.497323 -0.016645
0.507216 -0.016724
0.517110 -0.016792
0.527005 -0.016847
0.536899 -0.016889
0.546793 -0.016918
0.556687 -0.016935
0.566583 -0.016939
0.576479 -0.016930
0.586374 -0.016908
0.596268 -0.016871
0.606162 -0.016822
0.616057 -0.016759
0.625952 -0.016682
0.635847 -0.016591
0.645742 -0.016487
0.655638 -0.016368
0.665534 -0.016234
0.675429 -0.016087
0.685325 -0.015925
0.695221 -0.015748
0.705117 -0.015557
0.715014 -0.015350
0.724910 -0.015127
0.734807 -0.014890
0.744704 -0.014635
0.754600 -0.014364
0.764495 -0.014078
0.774391 -0.013773
0.784288 -0.013451
0.794185 -0.013110
0.804081 -0.012750
0.813978 -0.012371
0.823874 -0.011972
0.833771 -0.011552
0.843667 -0.011110
0.853565 -0.010645
0.863463 -0.010157
0.873361 -0.009644
0.883259 -0.009105
0.893230 -0.008535
0.903169 -0.007939
0.913100 -0.007313
0.922926 -0.006663
0.932789 -0.005979
0.942653 -0.005260
0.955486 -0.004273
0.971690 -0.002934
0.979902 -0.002215
0.988117 -0.001465
0.995376 -0.000777
1.000000 -0.000326
