Sipkill 1.7/10B
1.00000 0.00000
0.99726 0.00028
0.98907 0.00113
0.97553 0.00255
0.95677 0.00460
0.93301 0.00733
0.90451 0.01074
0.87157 0.01481
0.83457 0.01949
0.79389 0.02471
0.75000 0.03039
0.70337 0.03638
0.65451 0.04247
0.60396 0.04837
0.55226 0.05382
0.50000 0.05858
0.44774 0.06234
0.39604 0.06499
0.34549 0.06643
0.29663 0.06651
0.25000 0.06531
0.20611 0.06284
0.16543 0.05901
0.12843 0.05404
0.09549 0.04803
0.06699 0.04097
0.04323 0.03320
0.02447 0.02497
0.01093 0.01630
0.00274 0.00764
0.00000 0.00000
0.00274 -0.00485
0.01093 -0.01013
0.02447 -0.01490
0.04323 -0.01885
0.06699 -0.02225
0.09549 -0.02517
0.12843 -0.02756
0.16543 -0.02947
0.20611 -0.03090
0.25000 -0.03188
0.29663 -0.03249
0.34549 -0.03277
0.39604 -0.03270
0.44774 -0.03230
0.50000 -0.03157
0.55226 -0.03042
0.60396 -0.02885
0.65451 -0.02689
0.70337 -0.02454
0.75000 -0.02186
0.79389 -0.01893
0.83457 -0.01582
0.87157 -0.01268
0.90451 -0.00964
0.93301 -0.00683
0.95677 -0.00442
0.97553 -0.00251
0.98907 -0.00112
0.99726 -0.00028
1.00000 0.00000
